depth_tag;target;algo;params;ok;reason;n;k_used;cv_group;rmse;rmse_std;r2;r2_std
dados_010;densidade;gbr;"{""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 300}";True;;108;3;parcela;0.3040317643473332;0.21270188058696013;0.662212569683638;0.30494659412331143
dados_010;densidade;gbr;"{""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 300}";True;;108;3;parcela;0.32696445440235894;0.2139410491340826;0.3971425634875599;0.6590949652215291
dados_010;densidade;gbr;"{""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 600}";True;;108;3;parcela;0.3068947579509144;0.21054611600756062;0.661599907463041;0.3043275919006756
dados_010;densidade;gbr;"{""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 600}";True;;108;3;parcela;0.3283166436400828;0.21131650295333004;0.36634519771845775;0.7030679189745266
dados_010;densidade;gbr;"{""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 900}";True;;108;3;parcela;0.30832795765282467;0.2113740412905651;0.6662043901126279;0.29643090283348045
dados_010;densidade;gbr;"{""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 900}";True;;108;3;parcela;0.3285723589158708;0.21110005725145603;0.36308037795563375;0.70760120285567
dados_010;densidade;gbr;"{""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 300}";True;;108;3;parcela;0.2627661981051412;0.15498826263917148;0.6899783450787478;0.319293613050725
dados_010;densidade;gbr;"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 300}";True;;108;3;parcela;0.3055998037188659;0.18585225924223706;0.42651122012789333;0.6491151885627708
dados_010;densidade;gbr;"{""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 600}";True;;108;3;parcela;0.26502702271984063;0.15540163398685666;0.6888310093376745;0.31914114420916007
dados_010;densidade;gbr;"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 600}";True;;108;3;parcela;0.3062111795969627;0.18535363907051178;0.418485257192213;0.6602885631365629
dados_010;densidade;gbr;"{""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 900}";True;;108;3;parcela;0.26511629960626926;0.15539756376765423;0.6904126963200197;0.3168257837596504
dados_010;densidade;gbr;"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 900}";True;;108;3;parcela;0.30622336705550074;0.18530610529447814;0.41791992333856776;0.6611069294683627
dados_010;densidade;gbr;"{""learning_rate"": 0.08, ""max_depth"": 2, ""n_estimators"": 300}";True;;108;3;parcela;0.2656384934618038;0.15427723595665435;0.6920291708379418;0.31453064877446785
dados_010;densidade;gbr;"{""learning_rate"": 0.08, ""max_depth"": 3, ""n_estimators"": 300}";True;;108;3;parcela;0.3030488505248092;0.18664111741431222;0.46702179570764685;0.5930893559935189
dados_010;densidade;gbr;"{""learning_rate"": 0.08, ""max_depth"": 2, ""n_estimators"": 600}";True;;108;3;parcela;0.2662684834802687;0.15447284544958068;0.6914694236366667;0.3147975640214759
dados_010;densidade;gbr;"{""learning_rate"": 0.08, ""max_depth"": 3, ""n_estimators"": 600}";True;;108;3;parcela;0.30303881281407163;0.1866539921890339;0.4677935857507745;0.5919917417996308
dados_010;densidade;gbr;"{""learning_rate"": 0.08, ""max_depth"": 2, ""n_estimators"": 900}";True;;108;3;parcela;0.2662230494942565;0.15449723158121184;0.6930635038406381;0.31255245806094334
dados_010;densidade;gbr;"{""learning_rate"": 0.08, ""max_depth"": 3, ""n_estimators"": 900}";True;;108;3;parcela;0.3030409947190828;0.186653849987916;0.46779841326830424;0.5919831377022293
dados_010;n_espigas_com;ridge;"{""alpha"": 0.0}";True;;108;3;parcela;7.85445271085564e-12;5.377174659055473e-12;1.0;0.0
dados_010;n_espigas_com;ridge;"{""alpha"": 0.01}";True;;108;3;parcela;1.7182649557072514;0.6725084459979622;0.9999992412815163;4.5460319418723743e-07
dados_010;n_espigas_com;ridge;"{""alpha"": 0.1}";True;;108;3;parcela;16.90079507642901;6.632226515170564;0.9999267126154923;4.393370728154e-05
dados_010;n_espigas_com;ridge;"{""alpha"": 1.0}";True;;108;3;parcela;146.15824353454008;58.72241638837109;0.9945929887218466;0.0032716518532656283
dados_010;n_espigas_com;ridge;"{""alpha"": 10.0}";True;;108;3;parcela;737.1489183044587;312.91165562810625;0.8715511514666016;0.08422185848055537
dados_010;n_espigas_com;ridge;"{""alpha"": 100.0}";True;;108;3;parcela;2024.3057505760098;700.6411677049092;0.17458822068920546;0.4072382384969812
dados_010;n_espigas_com;rf;"{""max_depth"": null, ""min_samples_leaf"": 1, ""n_estimators"": 600}";True;;108;3;parcela;1114.5608547630616;289.51723191036103;0.7524969257735945;0.07266954920381782
dados_010;n_espigas_com;rf;"{""max_depth"": null, ""min_samples_leaf"": 2, ""n_estimators"": 600}";True;;108;3;parcela;1085.4242484700817;274.2250765159342;0.7664166166584074;0.06139056050548517
dados_010;n_espigas_com;rf;"{""max_depth"": null, ""min_samples_leaf"": 4, ""n_estimators"": 600}";True;;108;3;parcela;1080.7908017128;262.18640909014556;0.7711239730583328;0.043082060252801604
dados_010;n_espigas_com;rf;"{""max_depth"": 3, ""min_samples_leaf"": 1, ""n_estimators"": 600}";True;;108;3;parcela;1159.5235274516144;312.32802874163485;0.7300507988224881;0.08976965515782957
dados_010;n_espigas_com;rf;"{""max_depth"": 3, ""min_samples_leaf"": 2, ""n_estimators"": 600}";True;;108;3;parcela;1122.4561708286878;280.88397629684374;0.7489008699818371;0.06840867026402173
dados_010;n_espigas_com;rf;"{""max_depth"": 3, ""min_samples_leaf"": 4, ""n_estimators"": 600}";True;;108;3;parcela;1096.4428675711135;254.6300671915507;0.7637213789172238;0.03983237100115317
dados_010;n_espigas_com;rf;"{""max_depth"": 5, ""min_samples_leaf"": 1, ""n_estimators"": 600}";True;;108;3;parcela;1099.5020903852467;279.77758902693876;0.7597785611390142;0.06580887754017466
dados_010;n_espigas_com;rf;"{""max_depth"": 5, ""min_samples_leaf"": 2, ""n_estimators"": 600}";True;;108;3;parcela;1091.9593602435887;276.7321222531381;0.76340231492372;0.06322813626976587
dados_010;n_espigas_com;rf;"{""max_depth"": 5, ""min_samples_leaf"": 4, ""n_estimators"": 600}";True;;108;3;parcela;1080.7915794953335;262.18690901641196;0.7711236950111608;0.04308207595386803
dados_010;n_espigas_com;rf;"{""max_depth"": 8, ""min_samples_leaf"": 1, ""n_estimators"": 600}";True;;108;3;parcela;1115.002127214423;290.000113755302;0.7522817389216637;0.07296952985575335
dados_010;n_espigas_com;rf;"{""max_depth"": 8, ""min_samples_leaf"": 2, ""n_estimators"": 600}";True;;108;3;parcela;1085.4242484700817;274.2250765159342;0.7664166166584074;0.06139056050548517
dados_010;n_espigas_com;rf;"{""max_depth"": 8, ""min_samples_leaf"": 4, ""n_estimators"": 600}";True;;108;3;parcela;1080.7908017128;262.18640909014556;0.7711239730583328;0.043082060252801604
dados_010;n_espigas_com;gbr;"{""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 300}";True;;108;3;parcela;952.3794252689755;383.60209942307944;0.8212805634744121;0.09929461300845137
dados_010;n_espigas_com;gbr;"{""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 300}";True;;108;3;parcela;1026.9191356785936;318.87766118485075;0.7952993215636331;0.07024964758768261
dados_010;n_espigas_com;gbr;"{""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 600}";True;;108;3;parcela;951.7708594631227;383.1329177852996;0.8215130716172782;0.09909394880109991
dados_010;n_espigas_com;gbr;"{""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 600}";True;;108;3;parcela;1026.723806744272;318.74266485111457;0.7953750530434868;0.07019451748241251
dados_010;n_espigas_com;gbr;"{""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 900}";True;;108;3;parcela;951.770600308358;383.1327096076176;0.8215131737478639;0.0990938524834929
dados_010;n_espigas_com;gbr;"{""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 900}";True;;108;3;parcela;1026.7237812196875;318.7426467310598;0.7953750629829495;0.07019450990333137
dados_010;n_espigas_com;gbr;"{""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 300}";True;;108;3;parcela;928.3525803641187;358.001194176886;0.8324042996240717;0.08355299865644954
dados_010;n_espigas_com;gbr;"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 300}";True;;108;3;parcela;996.9880672504247;244.72748317614074;0.8073640871536222;0.024478106424685807
dados_010;n_espigas_com;gbr;"{""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 600}";True;;108;3;parcela;928.349549499143;357.9987556487144;0.8324054331703682;0.08355196465961509
dados_010;n_espigas_com;gbr;"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 600}";True;;108;3;parcela;996.9876263623097;244.7271999445048;0.8073642462182095;0.024478001857027143
dados_010;n_espigas_com;gbr;"{""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 900}";True;;108;3;parcela;928.3495494989812;357.99875564845627;0.8324054331704426;0.08355196465948156
dados_010;n_espigas_com;gbr;"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 900}";True;;108;3;parcela;996.9876263623097;244.7271999445048;0.8073642462182095;0.024478001857027143
dados_010;n_espigas_com;gbr;"{""learning_rate"": 0.08, ""max_depth"": 2, ""n_estimators"": 300}";True;;108;3;parcela;918.986467720993;351.9814366293129;0.8349406720277921;0.0835793099625529
dados_010;n_espigas_com;gbr;"{""learning_rate"": 0.08, ""max_depth"": 3, ""n_estimators"": 300}";True;;108;3;parcela;919.0263142814098;280.9827158469748;0.8402117361577996;0.03459976416651069
dados_010;n_espigas_com;gbr;"{""learning_rate"": 0.08, ""max_depth"": 2, ""n_estimators"": 600}";True;;108;3;parcela;918.9867172394919;351.9811745568412;0.8349405821697701;0.08357924930466931
dados_010;n_espigas_com;gbr;"{""learning_rate"": 0.08, ""max_depth"": 3, ""n_estimators"": 600}";True;;108;3;parcela;919.0263142548247;280.98271583144964;0.8402117361668218;0.034599764160746796
dados_010;n_espigas_com;gbr;"{""learning_rate"": 0.08, ""max_depth"": 2, ""n_estimators"": 900}";True;;108;3;parcela;918.9866125393637;351.9813207899688;0.8349406185234679;0.08357928939706934
dados_010;n_espigas_com;gbr;"{""learning_rate"": 0.08, ""max_depth"": 3, ""n_estimators"": 900}";True;;108;3;parcela;919.0263142548247;280.98271583144964;0.8402117361668218;0.034599764160746796
