ano,profundidade_cm,parcela,cultura,dmg,dmp,rmp,densidade,estoque_c,na,icv,altura,diam_espiga,comp_espiga,n_plantas,n_espigas,n_espigas_com,peso_espigas,produtividade
,0-10,MT,Pigeon pea,0.7870915823792952,1.444028125382688,1.1155598538809917,-0.3621439186431291,-0.3084797366951914,10.533,0.2675820094499583,2.25,53.6,19.4,14833.333333333334,15666.666666666666,13166.666666666666,3016.6666666666665,13166.666666666666
,0-10,MT,Pigeon pea,1.6096216469777247,2.163877834295309,1.886749740636517,-0.3536872085541142,-0.29982909345320946,10.533,0.2675820094499583,2.35,53.6,19.4,14833.333333333334,15666.666666666666,13166.666666666666,3016.6666666666665,13166.666666666666
,0-10,MT,Pigeon pea,0.5306538294573683,1.147248326431778,0.8389510779445732,-0.3410021434205938,-0.28685312859023787,10.533,0.2675820094499583,2.3,53.6,19.4,14833.333333333334,15666.666666666666,13166.666666666666,3016.6666666666665,13166.666666666666
,0-10,CT,Cowpea,-0.5087517924106151,-0.7506151835394754,-0.6296834879750453,-0.12114797485635911,0.04456679620166716,5.0,0.354546162521195,1.88,50.2,18.8,14500.0,14833.333333333334,6333.333333333333,1466.6666666666667,6333.333333333333
,0-10,CT,Cowpea,-0.6469518616592149,-0.9465928518819833,-0.7967723567705991,-0.02378997692572183,0.04456679620166716,5.3,0.35454616252119453,1.7,50.2,18.8,14500.0,14833.333333333334,6333.333333333333,1466.6666666666667,6333.333333333333
,0-10,CT,Cowpea,-0.629664218102317,-1.0085651234574193,-0.8191146707798682,-0.26569984974998445,-0.20535292802919047,10.8,0.35454616252119453,1.88,50.2,18.8,14500.0,14833.333333333334,6333.333333333333,1466.6666666666667,6333.333333333333
,0-10,CT,Cowpea,-0.40974029634520237,-0.5460112430604532,-0.4778757697028278,-0.05745274231190851,-0.02975458900398286,3.9,-1.8195576642597089,2.0,54.8,17.4,14500.0,14166.666666666666,6666.666666666667,1816.6666666666667,6666.666666666667
,0-10,CT,Cowpea,-0.5263698175774726,-0.7916896212993825,-0.6590297194384276,-0.09408575170275854,-0.06536335030895359,17.6,-1.8195576642597089,1.85,54.8,17.4,14500.0,14166.666666666666,6666.666666666667,1816.6666666666667,6666.666666666667
,0-10,CT,Cowpea,-0.5800049227441455,-0.9744205384302794,-0.7772127305872125,-0.1307187610936149,-0.1009721116139244,8.8,-1.8195576642597089,1.8,54.8,17.4,14500.0,14166.666666666666,6666.666666666667,1816.6666666666667,6666.666666666667
,0-10,CT,Cowpea,-0.27128655945347185,-0.17277524734105854,-0.2220309033972652,-0.13335897798664254,-0.13262882276321483,10.533,-1.036880286618584,2.0,54.2,18.2,20166.666666666668,20666.666666666668,12000.0,2900.0,12000.0
,0-10,CT,Cowpea,-0.48064338161355175,-0.6778019707424559,-0.5792226761780038,-0.1429297642238919,-0.141444934648965,10.533,-1.036880286618584,2.15,54.2,18.2,20166.666666666668,20666.666666666668,12000.0,2900.0,12000.0
,0-10,CT,Cowpea,-0.6065527908604073,-0.894297238720173,-0.7504250147902901,-0.15580082157743433,-0.15330108511600904,10.533,-1.036880286618584,2.0,54.2,18.2,20166.666666666668,20666.666666666668,12000.0,2900.0,12000.0
